deadline,distance,steps,rewards,penalties
30,6,30,3.5,-12.5
20,4,20,8.0,-6.0
30,6,9,18.5,-1.5
40,8,13,26.0,0
25,5,10,20.0,0
20,4,11,18.0,0
25,5,17,20.0,0
20,4,11,22.5,-1.5
25,5,10,19.0,-1.0
25,5,11,19.0,-1.0
35,7,14,24.0,0
35,7,16,24.0,0
25,5,12,20.0,0
30,6,13,22.0,0
25,5,9,20.0,0
40,8,12,26.0,0
25,5,7,20.0,0
20,4,7,18.0,0
25,5,6,16.0,0
20,4,10,18.0,0
50,10,19,30.0,0
40,8,22,26.0,0
25,5,13,19.0,-1.0
25,5,8,20.0,0
20,4,13,18.0,0
30,6,16,22.0,0
20,4,11,18.0,0
25,5,5,20.0,0
30,6,10,22.0,0
20,4,10,18.0,0
25,5,10,24.0,0
40,8,19,26.0,0
20,4,6,18.0,0
25,5,16,20.0,0
20,4,11,22.0,0
25,5,8,20.0,0
30,6,16,31.5,-0.5
25,5,7,20.0,0
35,7,21,24.0,0
20,4,7,18.0,0
25,5,13,20.0,0
45,9,21,28.0,0
45,9,17,28.0,0
20,4,11,18.0,0
25,5,16,20.0,0
25,5,12,20.0,0
20,4,8,18.0,0
30,6,16,22.0,0
20,4,12,18.0,0
30,6,16,22.0,0
30,6,11,20.0,-2.0
35,7,12,24.0,0
20,4,7,18.0,0
35,7,21,24.0,0
30,6,12,22.0,0
30,6,17,22.0,0
20,4,6,18.0,0
40,8,17,23.5,-0.5
20,4,7,18.0,0
25,5,7,20.0,0
20,4,8,18.0,0
20,4,6,18.0,0
20,4,11,18.0,0
35,7,3,16.0,0
25,5,10,20.0,0
35,7,13,24.0,0
30,6,10,22.0,0
40,8,11,30.0,0
30,6,13,22.0,0
30,6,17,22.0,0
60,12,14,26.0,0
25,5,10,20.0,0
30,6,11,22.0,0
55,11,28,32.0,0
20,4,7,18.0,0
35,7,16,24.0,0
20,4,7,18.0,0
35,7,11,24.0,0
55,11,30,32.0,0
30,6,8,22.0,0
25,5,12,20.0,0
30,6,8,20.0,-2.0
50,10,31,30.0,0
30,6,9,22.0,0
35,7,17,24.0,0
35,7,17,24.0,0
20,4,4,18.0,0
35,7,10,24.0,0
25,5,8,21.5,-0.5
25,5,11,20.0,0
35,7,11,24.0,0
20,4,13,18.0,0
35,7,11,24.0,0
25,5,8,19.0,-1.0
40,8,10,26.0,0
30,6,10,22.0,0
25,5,8,20.0,0
25,5,13,16.5,-1.5
30,6,18,22.0,0
30,6,16,27.5,-0.5
