filename,alpha,gamma,sigma
0.csv,0.01,0.01,0.01
1.csv,0.01,0.01,0.1
2.csv,0.01,0.01,0.5
3.csv,0.01,0.01,0.8
4.csv,0.01,0.01,1.0
5.csv,0.01,0.1,0.01
6.csv,0.01,0.1,0.1
7.csv,0.01,0.1,0.5
8.csv,0.01,0.1,0.8
9.csv,0.01,0.1,1.0
10.csv,0.01,0.3,0.01
11.csv,0.01,0.3,0.1
12.csv,0.01,0.3,0.5
13.csv,0.01,0.3,0.8
14.csv,0.01,0.3,1.0
15.csv,0.01,0.9,0.01
16.csv,0.01,0.9,0.1
17.csv,0.01,0.9,0.5
18.csv,0.01,0.9,0.8
19.csv,0.01,0.9,1.0
20.csv,0.01,1.0,0.01
21.csv,0.01,1.0,0.1
22.csv,0.01,1.0,0.5
23.csv,0.01,1.0,0.8
24.csv,0.01,1.0,1.0
25.csv,0.1,0.01,0.01
26.csv,0.1,0.01,0.1
27.csv,0.1,0.01,0.5
28.csv,0.1,0.01,0.8
29.csv,0.1,0.01,1.0
30.csv,0.1,0.1,0.01
31.csv,0.1,0.1,0.1
32.csv,0.1,0.1,0.5
33.csv,0.1,0.1,0.8
34.csv,0.1,0.1,1.0
35.csv,0.1,0.3,0.01
36.csv,0.1,0.3,0.1
37.csv,0.1,0.3,0.5
38.csv,0.1,0.3,0.8
39.csv,0.1,0.3,1.0
40.csv,0.1,0.9,0.01
41.csv,0.1,0.9,0.1
42.csv,0.1,0.9,0.5
43.csv,0.1,0.9,0.8
44.csv,0.1,0.9,1.0
45.csv,0.1,1.0,0.01
46.csv,0.1,1.0,0.1
47.csv,0.1,1.0,0.5
48.csv,0.1,1.0,0.8
49.csv,0.1,1.0,1.0
50.csv,0.5,0.01,0.01
51.csv,0.5,0.01,0.1
52.csv,0.5,0.01,0.5
53.csv,0.5,0.01,0.8
54.csv,0.5,0.01,1.0
55.csv,0.5,0.1,0.01
56.csv,0.5,0.1,0.1
57.csv,0.5,0.1,0.5
58.csv,0.5,0.1,0.8
59.csv,0.5,0.1,1.0
60.csv,0.5,0.3,0.01
61.csv,0.5,0.3,0.1
62.csv,0.5,0.3,0.5
63.csv,0.5,0.3,0.8
64.csv,0.5,0.3,1.0
65.csv,0.5,0.9,0.01
66.csv,0.5,0.9,0.1
67.csv,0.5,0.9,0.5
68.csv,0.5,0.9,0.8
69.csv,0.5,0.9,1.0
70.csv,0.5,1.0,0.01
71.csv,0.5,1.0,0.1
72.csv,0.5,1.0,0.5
73.csv,0.5,1.0,0.8
74.csv,0.5,1.0,1.0
75.csv,0.9,0.01,0.01
76.csv,0.9,0.01,0.1
77.csv,0.9,0.01,0.5
78.csv,0.9,0.01,0.8
79.csv,0.9,0.01,1.0
80.csv,0.9,0.1,0.01
81.csv,0.9,0.1,0.1
82.csv,0.9,0.1,0.5
83.csv,0.9,0.1,0.8
84.csv,0.9,0.1,1.0
85.csv,0.9,0.3,0.01
86.csv,0.9,0.3,0.1
87.csv,0.9,0.3,0.5
88.csv,0.9,0.3,0.8
89.csv,0.9,0.3,1.0
90.csv,0.9,0.9,0.01
91.csv,0.9,0.9,0.1
92.csv,0.9,0.9,0.5
93.csv,0.9,0.9,0.8
94.csv,0.9,0.9,1.0
95.csv,0.9,1.0,0.01
96.csv,0.9,1.0,0.1
97.csv,0.9,1.0,0.5
98.csv,0.9,1.0,0.8
99.csv,0.9,1.0,1.0
100.csv,1.0,0.01,0.01
101.csv,1.0,0.01,0.1
102.csv,1.0,0.01,0.5
103.csv,1.0,0.01,0.8
104.csv,1.0,0.01,1.0
105.csv,1.0,0.1,0.01
106.csv,1.0,0.1,0.1
107.csv,1.0,0.1,0.5
108.csv,1.0,0.1,0.8
109.csv,1.0,0.1,1.0
110.csv,1.0,0.3,0.01
111.csv,1.0,0.3,0.1
112.csv,1.0,0.3,0.5
113.csv,1.0,0.3,0.8
114.csv,1.0,0.3,1.0
115.csv,1.0,0.9,0.01
116.csv,1.0,0.9,0.1
117.csv,1.0,0.9,0.5
118.csv,1.0,0.9,0.8
119.csv,1.0,0.9,1.0
120.csv,1.0,1.0,0.01
121.csv,1.0,1.0,0.1
122.csv,1.0,1.0,0.5
123.csv,1.0,1.0,0.8
124.csv,1.0,1.0,1.0
