"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.8620481177874721,3.3267927140457467,0.36088810548219175,0.09241177329772086,0.6693605276276517,464
"('green_clear', 'left')",0.11372088231439402,0.07954093843437246,2.127530556802853,0.18601481584217744,0.6471370669442925,169
"('green_clear', 'right')",0.2166756337323283,0.30298881339676165,0.20248172285832317,2.3896531965983003,0.7086194431257563,223
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.0,-0.000513379547431011,-0.00868414087875118,0.0,0.6455716836144224,2
"('red_busy', 'left')",0.0,-0.01,-0.012044490377394034,0.010322544404136862,0.5679073712217293,4
"('red_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",1.6920908970810808,0.0316301944955275,0.05812998593139658,0.10597818482608089,0.4670473130293338,652
"('red_clear', 'left')",0.5273646733181943,-0.04836103609486458,-0.07036850882957556,0.13993971781504924,0.255290757026554,247
"('red_clear', 'right')",0.5298708763018628,0.09525669094411222,0.11976809639318839,2.8352812494526294,0.6645522687426659,282
